name,ring,quadrant,isNew,description,
WebAssembly,hold,tools,FALSE,"WebAssembly A binary instruction format for a stack-based virtual machine, designed to be a portable compilation target for high-level languages like C, C++, and Rust, enabling deployment on the web for client and server applications.",
AzureDevOps for .NET development,hold,tools,FALSE,"Azure DevOps for .NET Development A suite of development tools provided by Microsoft for managing the entire application lifecycle, including planning, developing, delivering, and operating .NET applications.",
Deck.gl (Vis.gl),adopt,languages & frameworks,FALSE,"Deck.gl (Vis.gl) A WebGL-powered framework for visual exploratory data analysis of large datasets, often used in conjunction with Mapbox GL.",
React 18,adopt,languages & frameworks,TRUE,"React 18 The latest version of the popular JavaScript library for building user interfaces, introducing concurrent rendering and other performance improvements.",
Junit 5,adopt,languages & frameworks,FALSE,"JUnit 5 The latest version of the JUnit testing framework for Java, offering a modular architecture and new features to write and run tests.",
Angular 17,adopt,languages & frameworks,FALSE,"Angular 17 The latest version of the Angular framework for building web applications, featuring improvements in performance, developer experience, and new features.",
MapStore ( react extensions ),trial,languages & frameworks,FALSE,"MapStore (React Extensions) An open-source framework to create, manage, and share maps and dashboards, with extensions for React to enhance its capabilities.",
Vite,trial,languages & frameworks,FALSE,"Vite A build tool that aims to provide a faster and leaner development experience for modern web projects, leveraging native ES modules.",
"ESRI SDK ( JavaScript , .NET ) ",trial,languages & frameworks,FALSE,"ESRI SDK (JavaScript, .NET) Software development kits provided by ESRI for building mapping and spatial analysis applications using JavaScript and .NET.",
OpenTelemetry,trial,languages & frameworks,FALSE,"OpenTelemetry An observability framework for cloud-native software, providing APIs and instrumentation to collect metrics, logs, and traces.",
.NET MAUI ,trial,languages & frameworks,FALSE,".NET MAUI .NET Multi-platform App UI, a framework for building cross-platform applications for iOS, Android, macOS, and Windows with a single codebase.",
C# 11-12,trial,languages & frameworks,FALSE,"C# 11-12 The latest versions of the C# programming language, introducing new features and improvements to enhance developer productivity and code quality.",
Go,trial,languages & frameworks,FALSE,"Go An open-source programming language designed by Google, known for its simplicity, efficiency, and strong concurrency support.",
.NET Aspire,trial,languages & frameworks,FALSE,".NET Aspire A hypothetical or future version of the .NET platform, potentially including new features and enhancements for modern application development.",
Rust,trial,languages & frameworks,FALSE,"Modern and highly popular in the industry alternative to C/C++. Explore for low level, memory hungry, concurency applications. Originally intended to serve as a safer alternative to C and C++, Rust is a systems programming language that has gained significant popularity among developers thanks to its emphasis on safety, performance, and productivity. Our top contender for CoG !!! https://www.rust-lang.org/",
Compose Multiplatform,trial,languages & frameworks,FALSE,"Multiplatform Application Development - Build your user interface once, and use it on all platforms â€“ Android, iOS, web, and desktop. https://www.jetbrains.com/lp/compose-multiplatform/.Explore together with Kotlin for Multiplatform",
Flutter,trial,languages & frameworks,FALSE,"Flutter is an open source framework by Google for building beautiful, natively compiled, multi-platform applications from a single codebase.https://flutter.dev/",
Playwright,assess,languages & frameworks,FALSE,Playwright is an open-source automation library for browser testing and web scraping.https://playwright.dev/ ,
Blazor,assess,languages & frameworks,FALSE,Blazor is a framework that allows you to use the power of .NET and C# to build full stack web apps without writing a line of JavaScript.https://dotnet.microsoft.com/en-us/apps/aspnet/web-apps/blazor,
NextJS,assess,languages & frameworks,FALSE,"Increasingly gaining popularity Next.js enables you to create full-stack web applications by extending the latest React features, and integrating powerful Rust-based JavaScript tooling for the fastest builds.https://nextjs.org/",
Angular 18,assess,languages & frameworks,FALSE,The Beta version of Angular 17 is now released with plently of new features as well as support for TypeScript 4.7 Support and new APIs. Read more on https://blog.angular.io/.,
Serverless functions,assess,languages & frameworks,FALSE,Assess how can we do serverless functions in a platform agnostic way - a serverless function that doesn't have a direct dependency (in its code or in its configuration) to the framework of a particular cloud provider.Explore tools such as Spring Cloud or Kubeless ? ,
React 19,trial,languages & frameworks,TRUE,The Beta version of React 19 has now been release plenty of useful features ! Keep an eye on the official versions . Blog with quick overview of the changes : https://www.freecodecamp.org/news/new-react-19-features/ ,
Cesium,assess,languages & frameworks,TRUE,Open platform for software applications designed to unleash the power of 3D data.https://cesium.com/. Explore together with CesiumJS (https://cesium.com/platform/cesiumjs/),
Micronaut,hold,languages & frameworks,FALSE,"Micronaut is a is an open source JVM-based framework for building lightweight microservices. It is designed to avoid reflection, thus reducing memory consumption and improving start times.https://micronaut.io/",
Quarkus,hold,languages & frameworks,FALSE,"K8S native Java stack https://quarkus.io/",
Kotlin for Multi-platform development,hold,languages & frameworks,FALSE,The Kotlin Multiplatform technology is designed to simplify the development of cross-platform projects. When starting new Cross-platform projects consider Kotlin https://kotlinlang.org/docs/multiplatform.html,
iOS,trial,platforms,FALSE,"macOS is the operating system developed by Apple for its Mac computers.Consider for cross-platform development.",
macOS,trial,platforms,FALSE,"iOS is Apple’s mobile operating system for iPhone and iPad.Consider for cross-platform development.",
